Word,Mean Rank,peS2o Rank,peS2o P(w),Gutenberg Rank,Gutenberg P(w),Wikipedia Rank,Wikipedia P(w)
the,1.0,1,0.05908578881276626,1,0.06033402150000408,1,0.06253678267874395
of,2.0,2,0.03805655041642637,2,0.035786213895285926,2,0.03411199083643491
and,3.0,3,0.029542668559972285,3,0.030369628357455006,3,0.029595911622110026
in,4.666666666666667,4,0.0213986706499169,6,0.01718740823024209,4,0.02559779272180734
to,4.666666666666667,5,0.019590348791218924,4,0.0257457044998228,5,0.02075563425130199
a,5.666666666666667,6,0.015608692001724676,5,0.019529540442831443,6,0.020071434332720524
is,9.0,7,0.012270713945745986,11,0.008102474817824761,9,0.009506799097707432
was,9.666666666666666,14,0.005832409992779099,8,0.010474542615470542,7,0.012864184442681892
that,10.666666666666666,10,0.008808140694893435,7,0.011018411369599218,15,0.005860975326480737
for,11.333333333333334,8,0.009555480358704066,16,0.007055931502330801,10,0.008298907511688198
with,12.0,9,0.009205857767760272,14,0.0075305616147431,13,0.007171989632449847
The,12.666666666666666,11,0.007852791856586307,19,0.005483295103978673,8,0.010317209045943722
as,12.666666666666666,12,0.0063592093502587155,15,0.007148594336113086,11,0.007881615402372309
on,16.333333333333332,16,0.005263254401364049,21,0.00538805499475706,12,0.007588859099692721
by,16.333333333333332,13,0.006314479413955089,22,0.005273380571655469,14,0.0069714907237196574
at,20.0,21,0.003628004975111422,23,0.005201199847635231,16,0.005244441726977856
be,21.0,18,0.004954229631981504,18,0.005717363127065015,27,0.002537827881152325
from,21.333333333333332,19,0.004330350271968827,28,0.004245305367404595,17,0.0052023398048921905
were,23.333333333333332,17,0.004998652952201158,31,0.0036478714353973853,22,0.003330382953083019
it,23.333333333333332,32,0.00214591131171545,13,0.007973864646485291,25,0.0028483911918364218
which,24.666666666666668,26,0.003160301237708606,25,0.004798674221539183,23,0.003053223933094328
are,25.0,15,0.005523631133611551,36,0.003424545052777337,24,0.0029913850932066556
an,28.333333333333332,25,0.0032594030543524164,40,0.0028748957795145416,20,0.003820468348945181
not,28.666666666666668,29,0.002723274542398414,20,0.0054446718860179134,37,0.0018207362129529486
or,31.0,28,0.003121582211346456,34,0.0035084969412995264,31,0.0022883752673369213
this,31.333333333333332,22,0.003615455322842305,30,0.0037312830443231386,42,0.001637046472194844
have,33.0,31,0.0025457129623880767,27,0.004310198459993717,41,0.0016740731868457076
their,39.666666666666664,48,0.0014921265943852449,38,0.003016505739511125,33,0.0019919385538981183
has,42.333333333333336,36,0.00192083761455901,61,0.0017436892336157362,30,0.0022888562853868727
In,43.333333333333336,27,0.0031402374335561273,84,0.0012337887870589297,19,0.0041755838160535295
but,44.0,65,0.0011853088434594723,29,0.003910334852900519,38,0.00177842802908211
one,45.333333333333336,57,0.0013219227714771837,39,0.0029339428263479373,40,0.0016843539747304678
been,46.0,51,0.001467823668534909,44,0.0025161643039133103,43,0.0015353504611212792
all,47.0,52,0.0014640804829191799,33,0.0035169495604552036,56,0.0010189246569461286
more,53.333333333333336,50,0.0014731400621787992,56,0.001889201177916379,54,0.001045816134481392
had,53.666666666666664,115,0.0007126961619740167,17,0.006006485483512312,29,0.002459131615818301
A,57.333333333333336,40,0.001754866739870605,83,0.0012437945131594647,49,0.0011665423248628604
its,57.666666666666664,76,0.0010289130334604503,62,0.0016877647823274591,35,0.001887553356153709
other,58.666666666666664,56,0.0013297620598791188,73,0.0014232259350976065,47,0.001252706823512876
It,59.333333333333336,87,0.0008933815219539395,57,0.0018838059427160464,34,0.0019542662009423444
they,59.666666666666664,98,0.0008152540974972206,35,0.003437364958256861,46,0.0012890221295914816
into,60.333333333333336,73,0.0010480899145780863,60,0.0017828335142310184,48,0.0012258145676312536
time,61.666666666666664,66,0.0011843622434686888,68,0.0015175133880512169,51,0.0011502044456112375
two,62.0,55,0.0013726872827220554,87,0.0012132389454524314,44,0.0014984537303123929
can,63.0,30,0.002698793614593289,91,0.0011358428694094498,68,0.000872606049102809
when,64.0,84,0.0009263931677194846,53,0.002014964091534221,55,0.001043019146839806
than,67.66666666666667,49,0.001485447919885053,70,0.0014975869944455042,84,0.0007771274687460906
only,70.0,69,0.0011117960939578235,78,0.0013666326712243528,63,0.000942724548385881
also,73.66666666666667,37,0.0018915135931053871,156,0.0006481572077053029,28,0.0025021515974345773
This,74.0,39,0.0017934427473211042,125,0.0008066402727661052,58,0.0010102313064608436
such,74.0,54,0.0013796499372194823,96,0.0011008229855734946,72,0.0008548305641258462
first,76.33333333333333,97,0.0008161502807493647,100,0.0010501176666899768,32,0.002155427482424166
there,76.66666666666667,88,0.0008837827922647869,54,0.0020015289288816116,88,0.0007463528212250553
after,78.0,86,0.0008975177523484505,103,0.0010173814486234489,45,0.0013727091517803402
where,80.0,70,0.0011043210407697334,109,0.0009169143312012102,61,0.0009736817181281356
then,86.66666666666667,104,0.0007657633805877729,82,0.0012689085359864712,74,0.0008409697721622008
will,86.66666666666667,78,0.0010071216843247916,52,0.00212312775170896,130,0.0005452032149386211
some,88.0,107,0.000748550694451013,64,0.0015590881392708764,93,0.0007298277496740582
no,89.33333333333333,92,0.0008370896898933183,51,0.002147224851773694,125,0.0005639524112108737
I,89.66666666666667,148,0.0005921692892344595,9,0.009854822386384205,112,0.0006039897695789082
between,93.33333333333333,35,0.0019293024820852891,181,0.0005248354757742167,64,0.0009294646398114951
these,94.0,47,0.0015145877659056865,93,0.0011270808889921398,142,0.0005193905254571321
would,94.33333333333333,181,0.0005206423418873895,49,0.002368702942619811,53,0.001055137221305327
who,94.66666666666667,201,0.00048266413290933073,47,0.0024399451868046067,36,0.0018304157282752697
most,94.66666666666667,100,0.0007932631392330704,108,0.0009359394187279698,76,0.0008256324571552582
over,98.66666666666667,139,0.0006168107274728039,95,0.001108183704390251,62,0.0009624007551718747
about,101.66666666666667,156,0.0005711043527004238,76,0.0013859116744098458,73,0.0008494202785834327
may,102.66666666666667,64,0.0011886301747314827,88,0.0011727513690941724,156,0.0004760234013646774
out,106.33333333333333,186,0.0005044019785672497,55,0.001908026535259966,78,0.0008154754263416019
well,113.33333333333333,118,0.0007056254716080766,117,0.0008602309682232448,105,0.0006546476640174694
through,115.0,129,0.000658237852939022,120,0.0008308101451846451,96,0.0007025490448251205
could,121.33333333333333,112,0.0007212927303685788,66,0.0015450846591885464,186,0.0004212282068540834
same,125.0,111,0.0007217948399289075,131,0.0007633882920587329,133,0.0005339109659601525
three,128.66666666666666,136,0.0006291803199610655,168,0.0005611718776472027,82,0.0007992072090891224
found,130.33333333333334,99,0.000813552275339877,143,0.0006943175623102269,149,0.0005027677714380624
both,131.0,75,0.0010293307721520354,212,0.0004458113152097287,106,0.0006478811099442466
used,132.0,44,0.0017090636472730796,281,0.00032263512798625396,71,0.0008567235024712857
any,133.66666666666666,134,0.0006378622881374047,77,0.0013729427588725287,190,0.0004127796462987493
if,134.0,116,0.0007084539535370593,59,0.0017942134091943264,227,0.0003547434175486776
while,134.33333333333334,149,0.0005912967709820851,154,0.0006552337678071989,100,0.0006786993448613941
up,135.33333333333334,281,0.00036838790684804584,58,0.0018405545920723435,67,0.0008766974267396521
each,136.0,61,0.0012037088952368455,182,0.0005184311936074783,165,0.0004555552271582542
so,137.0,202,0.00047814308904030556,42,0.002734688656277685,167,0.00045078785570849405
under,137.66666666666666,179,0.0005257241433596506,145,0.0006877441080482779,89,0.0007412130110424445
