word,count
the,160691399
of,87652471
and,76048179
in,65774812
to,53332643
a,51574557
was,33055167
The,26510586
is,24428197
for,21324459
as,20252206
on,19499954
with,18428787
by,17913595
that,15060070
at,13475856
from,13367673
his,11677230
In,10729372
an,9816885
he,9640645
were,8557586
which,7845412
are,7686514
it,7319084
He,7126806
be,6521076
also,6429404
had,6318862
has,5881331
or,5880095
first,5538479
their,5118386
It,5021585
its,4850163
who,4703345
not,4678473
but,4569760
her,4495000
one,4328032
have,4301615
this,4206473
been,3945160
two,3850352
after,3527245
they,3312207
other,3218893
into,3149792
A,2997489
she,2963715
time,2955508
On,2747173
would,2711228
more,2687277
when,2680090
all,2618178
years,2613946
This,2595840
New,2533458
during,2504723
where,2501924
over,2472937
only,2422378
between,2388306
new,2370024
made,2259891
up,2252718
can,2242205
later,2226463
him,2220825
used,2201394
such,2196530
about,2182628
then,2160914
season,2145403
most,2121504
United,2101358
out,2095405
became,2092071
She,2079685
known,2071414
three,2053603
part,2012437
than,1996868
University,1989630
including,1931053
being,1930347
there,1917791
under,1904584
American,1903708
born,1887155
team,1875438
some,1875329
year,1833148
against,1820851
through,1805235
After,1772966
film,1770060
before,1748710
while,1743952
many,1732801
second,1719530
them,1687445
until,1683777
well,1682150
both,1664763
work,1637168
played,1609155
people,1576834
World,1556973
States,1552509
I,1551982
released,1526120
number,1516924
1,1516288
National,1509775
name,1496223
As,1476738
won,1475872
series,1466897
album,1457016
family,1454829
called,1453454
life,1450004
no,1449104
May,1442052
area,1430378
March,1413532
January,1411906
will,1400927
September,1400662
June,1379309
same,1371911
following,1371214
October,1370450
July,1366478
several,1364936
de,1358022
career,1353898
school,1350012
August,1338252
these,1334600
They,1329212
early,1321673
April,1304772
began,1302636
November,1298640
since,1293677
found,1291887
December,1284323
US,1276914
His,1272431
four,1265552
use,1262033
South,1229187
may,1223166
School,1220696
2,1203957
state,1203325
held,1202541
At,1192314
game,1189830
John,1189464
city,1180942
each,1170572
February,1159152
so,1158322
War,1154032
took,1152068
located,1150125
named,1145970
group,1145772
end,1140056
former,1139176
member,1136725
served,1133712
There,1130960
place,1128794
York,1111300
government,1107955
However,1103372
County,1102749
music,1100871
British,1094547
did,1083952
could,1082367
now,1081784
received,1081157
population,1079397
any,1060658
around,1058973
City,1054401
League,1047820
home,1042920
due,1031741
State,1020109
system,1017028
died,1011398
based,1003961
During,1000496
3,995887
company,994644
said,994399
local,990997
station,988117
along,987473
10,986786
because,981957
back,976074
members,974230
built,972761
song,970253
2010,969615
North,968931
within,965879
century,965173
public,963884
published,963213
History,952982
age,940032
left,937871
2011,930948
included,926186
include,922483
set,913125
For,911673
if,911531
final,908107
high,906676
single,903013
like,897125
2012,896833
species,894311
own,893276
amp,886714
2014,885425
2016,882592
large,877486
day,875817
4,875661
St,875629
death,874017
2015,869848
club,869112
2013,867044
building,865620
small,862322
line,862268
town,860824
national,856947
moved,856606
five,849538
very,847897
last,847363
2018,845263
village,845068
those,845047
main,842646
2019,836408
2008,836397
another,835673
third,834841
2017,834438
2009,833300
College,832765
led,832137
still,830368
French,827598
5,825780
different,821009
2020,820742
show,814463
history,814364
often,814020
When,806828
games,804498
band,804391
English,798042
20,797866
service,789043
major,785204
announced,784682
world,782768
2007,780928
form,780411
2006,778627
son,768653
again,766782
West,765746
International,765357
12,762257
long,759656
started,759265
German,757717
football,755228
play,754876
near,754782
15,749356
children,747903
book,747761
what,747625
original,744667
District,743684
side,740561
18,736799
off,736576
London,735960
established,734268
went,732248
role,729346
record,728212
title,728065
make,727448
down,724782
period,723912
order,722982
support,721537
late,721190
2021,720625
just,720426
much,719943
million,719940
district,719087
came,718348
Cup,716555
River,716221
worked,715954
II,714218
joined,713318
election,711490
One,710601
among,708716
House,707939
using,700047
water,696598
become,694915
These,693568
6,692390
best,688780
having,686258
given,685313
30,684980
do,682623
next,680918
returned,674711
various,674233
wrote,672908
11,672854
total,671937
described,669897
married,668876
created,663901
From,661519
way,660621
war,659265
even,657921
development,657899
produced,657642
England,655262
country,653417
political,652904
general,648853
father,647334
six,646114
house,642774
students,636902
community,634794
7,634588
top,634508
power,634434
written,632228
By,628310
however,627536
European,625680
25,625114
8,623882
teams,623653
continued,622145
few,620663
2005,620413
works,620335
take,620110
head,619978
law,618720
without,618414
16,618110
According,617621
Park,617553
production,617214
2022,617053
East,616681
player,616260
2000,610917
north,607833
14,605138
position,604970
land,604089
Party,602055
times,601845
William,594455
days,592670
military,591414
considered,590447
13,590308
event,589423
Church,588912
Council,586023
Army,583861
lost,582859
win,582447
region,581856
2004,577838
France,577370
signed,577088
elected,576976
opened,576930
India,576799
research,576610
appointed,576551
founded,576452
south,576421
version,576416
television,575374
site,574232
match,571260
Street,571159
international,570019
education,569933
Australia,569632
professional,569374
debut,568257
church,566338
General,565536
High,562413
Division,562354
21,561825
further,558539
San,558195
women,557974
recorded,557844
old,557576
program,557134
important,553883
you,553144
together,551311
areas,551254
Early,551163
With,550286
example,550177
appeared,548722
24,548070
James,548050
result,546122
9,546049
While,544585
per,544330
men,543776
point,542506
California,541634
formed,541581
Its,540729
17,537910
making,536404
round,535628
level,535226
President,535050
George,530461
case,529290
addition,528163
working,527666
party,527344
field,527114
control,525658
All,524221
points,522805
others,522758
release,522625
developed,522110
Association,520177
lead,519293
video,517940
run,517089
similar,516510
wife,515256
how,514187
business,513598
every,512057
office,512010
Union,510380
Canada,508320
although,507115
22,506659
King,506653
social,505969
Royal,504947
across,504775
director,504120
should,503217
Indian,501267
2003,501185
No,501067
America,500033
right,498919
we,497625
popular,497615
himself,497078
playing,496107
short,495110
project,494991
common,492156
Some,492013
Championship,491210
design,490086
groups,489058
services,488300
Australian,487390
events,487233
Award,487173
100,486056
though,484829
2002,484062
Club,482951
language,479543
19,478075
art,477701
First,477259
story,474915
23,474802
months,474623
2001,473813
president,473675
songs,473063
Germany,470702
schools,469951
gave,469867
finished,469602
followed,468925
sold,467520
body,466567
away,466548
list,466475
never,464484
live,462275
players,461863
west,461356
present,460065
completed,460064
available,459899
race,459475
east,459461
performed,459441
average,459345
taken,457300
Court,456591
daughter,456368
process,455437
reported,454840
remained,453895
league,453145
does,453075
An,453021
Company,452727
return,452230
term,452026
construction,451661
Her,451252
coach,451099
study,448175
less,447983
Central,447534
Europe,447341
young,445746
26,444319
David,444293
Group,443919
Road,442181
Music,441611
28,441578
help,441405
Since,441041
designed,440474
originally,440267
living,439287
once,438915
Other,438634
China,437197
information,436639
current,434562
Although,434503
largest,432512
states,431369
27,430587
features,430545
half,430175
includes,429773
character,429767
performance,429679
Japanese,429394
films,428975
throughout,428887
road,428351
leading,427658
official,427270
Japan,426782
forces,425447
able,425321
seen,424346
directed,423782
style,422992
training,422947
shows,422688
Air,422563
awarded,422366
involved,421838
Department,421465
see,421319
Hall,420750
1999,420669
stated,420567
Russian,420355
Thomas,419707
Western,419530
featured,419391
Washington,418138
modern,417196
must,416356
Robert,416043
good,415982
countries,415696
Institute,415643
eventually,415437
Center,415335
sent,415285
stage,415136
man,413847
track,412667
mother,411664
UK,411441
usually,410533
Chinese,408990
open,408636
Charles,407139
seven,407059
full,406453
get,406243
added,406125
either,406104
replaced,403274
previous,401737
Minister,401674
currently,400130
Society,399266
great,399151
free,398906
Canadian,398337
To,398159
change,396968
tournament,396814
1998,396745
competition,395653
killed,395329
least,394827
Island,394802
range,394513
degree,394409
29,394342
provided,394063
special,394057
police,393239
reached,393198
private,392060
Academy,391562
Act,390091
human,389977
brother,386574
episode,386530
above,385816
white,385253
close,385172
31,385151
rights,383668
class,383092
placed,382216
1996,381726
scored,381037
eight,380405
Career,379351
attended,378112
decided,376135
contract,376019
data,375883
upon,375424
media,375298
radio,374980
1997,374551
campaign,373096
Best,372317
